ID,이름,위도,경도,지역코드
112,성북동한옥은하수,37.59280719,127.0031014,1
113,메이플레이스 호텔 서울 동대문,37.57617016,126.9987522,1
114,김치다운타운 게스트하우스 1B,37.5607519,126.9649724,1
115,더메이하우스,37.56794746,126.9191653,1
116,서울이야기 한옥(서울이야기한옥게스트하우스),37.57700592,126.9846035,1
117,신림빌(SS-Seoulstay),37.48670135,126.919412,1
118,아이올라 2(아이올라 홍대 AIOLA Hongdae 爱游乐 弘大),37.56299535,126.9243761,1
119,Funfun stay(펀펀스테이),37.55593511,126.926776,1
120,로얄 홈스테이(로얄홈스테이),37.47481235,126.9912836,1
121,두리 게스트 하우스(두리 게스트하우스),37.59164127,127.0371539,1
122,소피아하우스,37.47486029,127.0313021,1
123,아리하우스,37.56035789,126.9867927,1
124,능마루게스트하우스(Nungmaru Guesthouse),37.55878305,126.9852928,1
125,서울 타이완 게스트하우스,37.55818858,126.9800489,1
126,애플트리(Apple tree)(애플트리게스트하우스),37.55815124,126.9111996,1
127,오렌지 게스트하우스,37.55486564,126.9186657,1
128,게스트하우스 G601(게스트하우스 G601_강남),37.50485683,127.0326012,1
129,엘스테이(Gangnam AN guesthouse),37.50487053,127.0220688,1
130,주연과 강모의 집(아트빌),37.55809881,126.9303868,1
131,한스하우스(Hans house),37.57747783,126.970427,1
132,이즈앳케이 게스트하우스(어뮤즈게스트하우스),37.53148085,126.9958149,1
133,게더링 앳 홍대1(게더링앳홍대),37.563212,126.9248538,1
134,게더링 앳 홍대2(게더링앳홍대),37.563212,126.9248538,1
135,큐브 게스트하우스,37.53576362,126.9920595,1
136,블루베리홈스테이,37.50620829,127.1224707,1
137,비원스테이(비원게스트하우스),37.57606723,126.9898919,1
138,오케이 게스트하우스,37.51155695,126.9278105,1
139,티롤관광호텔,37.51516091,127.0170467,1
140,강남스테이힐(Gangnam Stay Hill),37.50342917,127.0301237,1
141,서울 성북 홈스테이,37.60179015,127.0404422,1
142,게스트하우스 류가(Guest House Ryuga),37.54893022,126.918777,1
143,북촌한옥게스트하우스 라온(라온게스트하우스),37.57755301,126.9812038,1
144,보안스테이(BOANSTAY),37.5791277,126.9735933,1
145,아름다운 황토집,37.62571026,126.9229855,1
146,북촌 게스트하우스,37.57862797,126.9856811,1
