ID,이름,위도,경도,지역코드
72,카멜리아힐,33.28989832,126.3682664,3
73,세천포구,33.26961374,126.6741708,3
74,수월봉과 차귀해안,33.29412242,126.1630063,3
75,삼양 나이롱책방,33.52487029,126.5895557,3
76,강정포구,33.22716248,126.4750196,3
77,제주러브랜드,33.45210729,126.4883912,3
78,아부오름,33.4476124,126.7773495,3
79,베릿네오름,33.24747885,126.4220099,3
80,화순금모래 해변,33.24070043,126.3335149,3
81,우도 산호해변(서빈백사),33.50268123,126.9437533,3
82,순례자의 교회,33.31983096,126.1805487,3
83,제주 우도 천진항 대합실,33.49283522,126.9515556,3
84,산방굴사(제주),33.23725605,126.3133473,3
85,엉덩물계곡,33.24325982,126.419013,3
86,제주 하도리 철새도래지,33.52047007,126.8905991,3
87,용두암해수랜드,33.51585882,126.5045689,3
88,제주대 벚꽃길,33.45794671,126.5624124,3
89,제주별빛누리공원,33.44457575,126.5492472,3
90,제주 서광다원,33.30593427,126.2941835,3
91,제주 동백마을,33.32039538,126.745183,3
92,하귀애월해안도로,33.47108621,126.3424701,3
93,용머리해안,33.2322594,126.3145223,3
94,비체올린,33.34945605,126.2182392,3
95,소천지,33.23959908,126.5921064,3
96,금능석물원,33.38549108,126.2267487,3
97,용두암,33.51580339,126.511971,3
98,브릭캠퍼스 제주,33.45857597,126.4853024,3
99,1100고지습지,33.35767288,126.4630149,3
100,제주성지,33.5102931,126.5255811,3
101,한라산 성판악,33.3848946,126.6203951,3
102,휴애리자연생활공원,33.30851715,126.6344317,3
103,고산일과해안도로 (일과리해안도로),33.27516355,126.1723198,3
104,제주도예촌,33.26465181,126.2357229,3
105,제주항,33.52006994,126.5342384,3
106,제이엠그랑블루요트,33.23824404,126.4396058,3
107,여미지식물원,33.25260594,126.4142854,3
108,수월봉,33.29478901,126.1634201,3
109,교래자연휴양림,33.45139616,126.6567238,3
110,우도 밤수지맨드라미책방,33.52075986,126.9484969,3
111,운진항,33.2097721,126.2576111,3
112,신양 섭지해수욕장,33.43025009,126.9280674,3
113,조천함덕 해안도로,33.5428196,126.6705344,3
114,백제사,33.44881497,126.4243079,3
115,산방산유람선,33.23706752,126.3352176,3
116,도두항,33.5061676,126.4650003,3
117,우도마을,33.51188333,126.964854,3
118,광치기해변,33.4523087,126.9239478,3
119,서건도,33.25402924,126.4927119,3
120,제주마방목지,33.42762016,126.6037011,3
